Date,Open,High,Low,Close,Volume
09/13/2024,"117.00","117.48","114.80","115.50","745,390"
09/12/2024,"117.25","117.40","115.00","116.43","1,187,511"
09/11/2024,"119.49","119.50","116.06","117.02","1,837,630"
09/10/2024,"116.10","120.40","116.10","119.74","2,113,941"
09/09/2024,"119.90","119.90","116.00","116.63","1,674,924"
09/06/2024,"118.50","119.95","118.03","119.50","985,098"
09/05/2024,"120.45","120.45","118.00","118.53","1,560,409"
09/04/2024,"120.00","120.65","119.40","119.96","471,361"
09/03/2024,"119.50","120.00","118.50","119.58","1,820,294"
09/02/2024,"125.55","129.10","121.99","123.23","4,119,350"
08/30/2024,"126.78","128.80","124.60","125.42","2,262,774"
08/29/2024,"128.00","128.98","126.00","127.04","1,469,353"
08/28/2024,"129.00","129.00","126.50","127.92","514,558"
08/27/2024,"129.01","129.98","127.90","128.48","635,725"
08/26/2024,"134.12","134.95","128.50","129.07","3,044,515"
08/23/2024,"134.60","134.60","133.00","134.07","515,666"
08/22/2024,"136.00","136.00","132.51","133.90","842,193"
08/21/2024,"136.95","137.48","135.05","135.99","403,561"
08/20/2024,"137.99","138.00","136.01","136.91","186,616"
08/19/2024,"137.45","138.00","134.60","137.34","702,144"
08/16/2024,"138.48","138.94","136.52","137.37","181,836"
08/15/2024,"137.00","138.95","136.00","137.97","428,031"
08/13/2024,"137.00","137.90","135.61","137.00","479,120"
08/12/2024,"136.14","138.30","136.14","137.42","643,068"
08/09/2024,"136.25","138.00","135.12","137.86","1,073,467"
08/08/2024,"133.85","136.74","132.60","136.21","3,188,687"
08/07/2024,"131.17","134.95","131.17","134.10","1,305,601"
08/06/2024,"132.87","135.20","131.11","132.49","2,048,309"
08/05/2024,"135.00","135.50","130.53","131.58","1,826,989"
08/02/2024,"134.50","137.50","132.00","135.88","4,088,836"
08/01/2024,"131.86","133.68","131.00","133.24","1,582,379"
07/31/2024,"133.63","136.90","130.30","131.86","2,350,522"
07/30/2024,"137.98","138.80","133.12","133.63","1,604,367"
07/29/2024,"135.79","138.69","135.55","136.11","1,836,143"
07/26/2024,"139.70","139.70","136.00","136.92","675,443"
07/25/2024,"142.00","142.00","138.50","139.74","2,704,698"
07/24/2024,"141.60","143.39","141.00","141.49","988,990"
07/23/2024,"143.48","145.00","140.10","141.31","2,318,442"
07/22/2024,"141.64","144.25","137.50","142.43","5,099,615"
07/19/2024,"148.25","148.25","140.10","141.70","4,105,210"
07/18/2024,"148.90","149.79","146.60","148.14","3,008,807"
07/15/2024,"148.00","153.26","148.00","148.77","7,829,515"
07/12/2024,"139.99","148.10","137.49","146.63","13,200,560"
07/11/2024,"137.90","141.97","134.40","139.95","4,112,879"
07/10/2024,"141.49","141.49","137.00","137.96","1,934,735"
07/09/2024,"143.11","145.90","139.00","140.55","3,225,650"
07/08/2024,"140.00","145.10","137.51","142.98","5,278,504"
07/05/2024,"132.50","140.75","130.30","139.00","10,034,650"
07/04/2024,"132.49","134.90","127.00","132.71","6,996,226"
07/03/2024,"126.75","133.75","126.50","132.52","7,324,743"
07/02/2024,"125.99","126.80","125.43","126.03","2,221,151"
07/01/2024,"123.99","125.70","122.52","125.07","1,963,928"
06/28/2024,"124.60","124.60","121.60","124.03","3,455,006"
06/27/2024,"125.00","126.00","123.25","123.96","1,148,778"
06/26/2024,"126.95","126.95","123.25","123.71","2,146,667"
06/25/2024,"126.80","128.30","125.50","126.31","2,583,232"
06/24/2024,"125.80","129.98","125.80","126.83","5,385,468"
06/21/2024,"123.50","127.97","122.40","125.65","12,901,990"
06/20/2024,"113.35","121.92","112.06","121.92","20,943,160"
06/14/2024,"110.00","113.25","108.90","112.37","5,185,713"
06/13/2024,"105.00","110.40","104.80","109.51","5,604,030"
06/12/2024,"104.07","106.44","104.06","104.76","391,283"
06/11/2024,"105.48","107.25","104.50","105.00","619,877"
06/10/2024,"106.48","107.46","105.10","105.48","1,047,371"
06/07/2024,"108.82","109.50","104.12","106.85","2,526,399"
06/06/2024,"108.85","110.49","108.10","108.82","1,251,708"
06/05/2024,"112.00","112.00","108.40","108.85","2,994,912"
06/04/2024,"113.08","113.50","111.22","111.98","2,328,511"
06/03/2024,"114.00","114.49","112.90","113.08","1,294,625"
05/31/2024,"114.00","114.38","113.40","113.97","2,288,708"
05/30/2024,"114.40","114.50","113.36","113.73","1,100,479"
05/29/2024,"114.75","115.35","113.10","113.82","1,996,194"
05/27/2024,"114.60","116.80","113.83","115.78","6,155,777"
05/24/2024,"113.25","114.95","113.05","114.29","2,939,584"
05/23/2024,"112.75","113.97","112.26","113.29","905,976"
05/22/2024,"113.90","114.25","112.51","112.93","777,246"
05/21/2024,"113.50","114.70","113.30","113.71","1,899,860"
05/20/2024,"116.10","116.10","113.27","113.79","1,263,164"
05/17/2024,"116.00","116.74","115.25","115.46","1,108,541"
05/16/2024,"115.50","116.40","114.80","115.98","4,248,282"
05/15/2024,"115.01","115.85","114.50","115.10","2,513,749"
05/14/2024,"113.10","115.26","113.10","114.90","4,424,900"
05/13/2024,"113.41","114.10","113.00","113.43","1,666,197"
05/10/2024,"113.20","113.80","112.50","112.96","790,046"
05/09/2024,"113.51","114.60","112.90","113.56","1,997,634"
05/08/2024,"113.39","114.30","112.06","113.76","2,989,702"
05/07/2024,"111.98","113.49","111.50","112.88","3,366,186"
05/06/2024,"113.02","113.35","111.40","112.00","2,726,018"
05/03/2024,"111.73","113.88","111.73","112.10","6,791,235"
05/02/2024,"113.50","115.75","112.00","112.61","3,468,446"
04/30/2024,"116.94","118.20","116.00","116.47","4,028,185"
04/29/2024,"118.05","118.80","115.40","116.68","5,594,822"
04/26/2024,"118.00","118.60","116.30","117.89","3,845,181"
04/25/2024,"119.40","119.80","117.26","117.73","4,556,109"
04/24/2024,"115.99","119.10","114.98","118.20","12,553,980"
04/23/2024,"115.00","116.60","113.60","115.94","13,143,410"
04/22/2024,"115.10","116.50","112.51","114.53","48,145,527"
04/19/2024,"113.40","115.85","113.15","115.08","2,278,618"
04/18/2024,"115.80","116.73","113.60","114.35","3,250,009"
04/17/2024,"116.00","117.50","114.50","115.42","3,631,693"
04/16/2024,"111.30","118.48","111.00","115.81","15,884,190"
04/15/2024,"111.48","111.50","108.99","110.96","1,519,132"
04/09/2024,"111.79","112.84","108.75","109.65","4,306,345"
04/08/2024,"108.99","110.70","107.95","110.30","1,508,661"
04/04/2024,"106.69","109.90","106.00","108.85","1,760,545"
04/03/2024,"105.00","106.70","104.60","106.47","1,048,329"
04/02/2024,"105.49","105.49","104.10","104.60","278,078"
04/01/2024,"104.95","105.90","104.65","104.99","358,080"
03/29/2024,"105.95","106.45","104.25","104.42","671,014"
03/28/2024,"104.50","105.75","104.11","105.65","432,652"
03/27/2024,"104.00","106.40","103.50","104.46","1,253,860"
